Fold,Analysis,Model,Train_n,Test_n,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
P28an,LOMO,RandomForestOpt1,6180,30,0.9996504541887792,0.250136504854368,0.39885034599841446,0.39888147164416343,0.8904983073377036,3.9214077777777776,4.788795315080892,3.0102961867404723
P29,LOMO,RandomForestOpt1,6180,30,0.9996483730294283,0.2509372276159651,0.4002487747918796,0.4002788767251624,0.99832262580066,0.4530855555555536,0.5704524378849491,0.457590157701497
P29an,LOMO,RandomForestOpt1,6180,30,0.9996501965497567,0.25002964401294436,0.39898134624961923,0.3990111063652089,0.9008552860018831,4.052484444444449,4.467084658924663,1.9115479855078537
P3,LOMO,RandomForestOpt1,6180,30,0.9996515600542716,0.2503302427184456,0.39835428184230515,0.39838343880225124,0.9843893356042211,1.6980511111111112,1.7407482966092915,0.38973075082739767
P30,LOMO,RandomForestOpt1,6180,30,0.9996481217362337,0.251641925566342,0.4004307691825457,0.400462219102064,0.9736443898633164,2.2093611111111082,2.262012030955,0.49349762487118504
P30an,LOMO,RandomForestOpt1,6180,30,0.9996591927412124,0.24844233009708647,0.39400247451021325,0.39403015938378194,0.8268835200324268,5.557604444444445,5.820397661156841,1.758740274023952
P31,LOMO,RandomForestOpt1,6180,30,0.9996496476280838,0.25059420711974056,0.39950618537087157,0.3995384710334427,0.9969787941121581,0.6377711111111064,0.7655889738553407,0.6270781361055393
P31an,LOMO,RandomForestOpt1,6180,30,0.9996593349775719,0.2482546871628902,0.3935945346075807,0.39362215988963367,0.7602585354247375,6.296373333333334,7.08053905589639,3.2941509558656703
P32,LOMO,RandomForestOpt1,6180,30,0.9996517769310463,0.25012715210355896,0.3981933504677155,0.3982252071573681,0.8953791203862458,4.476038888888882,4.505829104446975,0.5261163339648681
P33,LOMO,RandomForestOpt1,6180,30,0.9996505229870952,0.25018362459546845,0.39902920600711994,0.39906127081870535,0.9172036889477043,3.999273333333336,4.009521438461391,0.2913848695046518
P34,LOMO,RandomForestOpt1,6180,30,0.9996535029055056,0.2493807820927717,0.39716654572887305,0.3971984630918984,0.9144505755031924,4.03307777777778,4.082377816302292,0.6433417122516321
P35,LOMO,RandomForestOpt1,6180,30,0.9996525257621152,0.24951517799352668,0.3977494826954984,0.39778164320155873,0.9925292066870213,1.015550000000003,1.2039066265780427,0.7207175806062286
P36,LOMO,RandomForestOpt1,6180,30,0.9996467465746245,0.25135290722761516,0.4011893842035969,0.40122183419603874,0.8474777663221149,5.4310399999999985,5.441674180563128,0.3458458982234869
P37,LOMO,RandomForestOpt1,6180,30,0.9996483236452551,0.2509956526429333,0.4000872866458436,0.4001188553442283,0.9086390373199398,4.180481111111109,4.218105360963043,0.5717400987442924
P38,LOMO,RandomForestOpt1,6180,30,0.999649990261284,0.2509610787486509,0.399145495857985,0.3991777914761888,0.9996203955075053,0.21885777777778304,0.2717156761518763,0.24382212529140448
