Model,SMILES_Class,Feature,sum_importance,mean_importance,std_importance,n,sum_share,mean_share,Type,Source
RandomForestOpt1,Stilbenes,SMILES_RADICAL_MolMR,0.09829407359593,0.016382345599321665,0.0008038149442732757,6,0.016382345599321765,0.016382345599321765,Electronic,Radical
RandomForestOpt1,Stilbenes,SITE_O24,0.076220934476954,0.012703489079492333,5.586723622156936e-06,6,0.01270348907949241,0.012703489079492411,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_C30,0.0606412422642227,0.010106873710703783,4.56971187463578e-06,6,0.010106873710703844,0.010106873710703845,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_C29,0.0490646903846194,0.008177448397436567,3.626248446205283e-06,6,0.008177448397436617,0.008177448397436617,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_O19,0.0461227699065978,0.0076871283177663,3.4138017355133277e-06,6,0.007687128317766346,0.007687128317766347,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_C28,0.0346228227794993,0.0057704704632498835,2.4268732944960817e-06,6,0.005770470463249919,0.005770470463249919,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_NumAliphaticHeterocycles,0.0270140055236876,0.004502334253947933,0.0011029229470358203,6,0.004502334253947961,0.004502334253947961,Structural,Molecule
RandomForestOpt1,Stilbenes,SITE_C31,0.0261890722507177,0.004364845375119617,1.894573808613289e-06,6,0.004364845375119644,0.004364845375119644,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_Class_Flavonoids,0.0254149785002505,0.00423582975004175,0.0012871237319040363,6,0.004235829750041775,0.004235829750041776,Structural,Molecule
RandomForestOpt1,Stilbenes,SMILES_MaxAbsEStateIndex,0.0230813447854176,0.0038468907975695997,6.749730080623464e-05,6,0.003846890797569623,0.003846890797569623,Electronic,Molecule
RandomForestOpt1,Stilbenes,SMILES_NumAliphaticRings,0.0228145213320564,0.0038024202220094,0.0012159687141764357,6,0.0038024202220094234,0.0038024202220094234,Structural,Molecule
RandomForestOpt1,Stilbenes,SMILES_MaxEStateIndex,0.0222564069014076,0.0037094011502346,5.923481033117942e-05,6,0.0037094011502346227,0.0037094011502346227,Electronic,Molecule
RandomForestOpt1,Stilbenes,MEDIUM_WAT,0.021482753450208298,0.0035804589083680495,8.965150310097556e-06,6,0.003580458908368071,0.003580458908368071,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_VSA_EState1,0.0190074181322814,0.0031679030220469,0.0011107265908602215,6,0.003167903022046919,0.0031679030220469195,VSA,Molecule
RandomForestOpt1,Stilbenes,SMILES_EState_VSA10,0.0172972031023058,0.0028828671837176334,0.0004201475067557192,6,0.002882867183717651,0.0028828671837176512,VSA,Molecule
RandomForestOpt1,Stilbenes,SMILES_NumValenceElectrons,0.0161101971959835,0.00268503286599725,0.0015241520446147114,6,0.0026850328659972665,0.0026850328659972665,Structural,Molecule
