Analysis,Model,Train_Molecule_Count,Repeat,Train_Row_Count,Test_Row_Count,Test_Molecule_Count,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
MoleculeCountLearningCurve,RandomForestOpt1,40,1,2970,3240,31,0.9995109037050967,0.3016452188552179,0.4751519921383001,0.47520408998176056,0.869908770578444,4.483435823045266,7.610116452200685,7.5328765108693885
MoleculeCountLearningCurve,RandomForestOpt1,40,2,4200,2010,31,0.9996120064587561,0.26671117460317467,0.4211633234488943,0.421176663161599,0.8966849924113178,3.876825854063019,6.729298475780688,6.414524233034249
MoleculeCountLearningCurve,RandomForestOpt1,40,3,3360,2850,31,0.9994719107208132,0.31050264880952316,0.5026279261236654,0.5027019162422967,0.8955070547370637,3.3522836374269,6.6554225144396,6.642374224564963
MoleculeCountLearningCurve,RandomForestOpt1,40,4,3480,2730,31,0.9994968267491868,0.29957518199233646,0.47933729715860396,0.4792882075841418,0.9513377762604698,2.967969499389498,4.687313776319392,4.483371194318761
MoleculeCountLearningCurve,RandomForestOpt1,40,5,3390,2820,31,0.9995259931128326,0.28776940019665703,0.4496584977445685,0.4495846371742475,0.9212543643890485,3.5128477186761238,6.165796539923937,5.774278034336309
MoleculeCountLearningCurve,RandomForestOpt1,40,6,3030,3180,31,0.9994263655700683,0.3288626622662259,0.5247246695243891,0.5247248870899801,0.9521218717186823,2.7746422851153034,4.443953591397266,4.426554175876886
MoleculeCountLearningCurve,RandomForestOpt1,40,7,3300,2910,31,0.9994550564111504,0.3346811818181798,0.5089853297301106,0.5087916805167547,0.9331836069459105,2.8770371706758304,5.337513012691706,5.33651664709129
MoleculeCountLearningCurve,RandomForestOpt1,40,8,3150,3060,31,0.9993699688119719,0.35433087830687615,0.54025279177577,0.5400205287535307,0.9784954800425842,1.8716149346405238,3.038771741683012,3.0379120775047928
MoleculeCountLearningCurve,RandomForestOpt1,40,9,2790,3420,31,0.9995108583330469,0.31590784946236666,0.46937935903973366,0.46918186821148233,0.9290523562293402,3.003507553606239,5.594569687550481,5.512062180164624
MoleculeCountLearningCurve,RandomForestOpt1,40,10,3090,3120,31,0.9996029381688698,0.25056222222222024,0.3866966597190864,0.38634724457987046,0.8078429541618624,5.670160683760683,9.994132641659826,9.03439132723342
MoleculeCountLearningCurve,RandomForestOpt1,40,11,4110,2100,31,0.9996079883867268,0.27063266828872634,0.4192686369684596,0.41916751126344054,0.9221323558284286,3.393927984126983,5.914131672070803,5.86793352520521
MoleculeCountLearningCurve,RandomForestOpt1,40,12,3960,2250,31,0.9996004072737432,0.26559422558922424,0.42639874693700636,0.4262928062137966,0.9591798594303185,2.4344012444444445,4.2772703664047755,4.276272835977188
MoleculeCountLearningCurve,RandomForestOpt1,40,13,3030,3180,31,0.9994610927975008,0.32296774477447754,0.5014257904783129,0.5014824422115516,0.9211650128565042,3.909623249475891,5.779252812872832,5.680589409846087
MoleculeCountLearningCurve,RandomForestOpt1,40,14,3780,2430,31,0.9996647949986178,0.24793835097001726,0.3857019383122325,0.38570822929640936,0.918796311196414,3.8728660905349788,6.06443110778044,5.959925495295554
MoleculeCountLearningCurve,RandomForestOpt1,40,15,2820,3390,31,0.9993598994487058,0.37466256501181844,0.5548765967760053,0.5548756563352818,0.8874716288809021,3.516451642084562,6.622662477220411,6.60347366912265
MoleculeCountLearningCurve,RandomForestOpt1,40,16,3060,3150,31,0.9994587662727792,0.34396394335511943,0.5130204980884954,0.5128332292768665,0.9561514877420422,2.3025376190476194,4.254756865924986,4.206969832904876
MoleculeCountLearningCurve,RandomForestOpt1,40,17,3390,2820,31,0.9996029821233845,0.25428449360865296,0.40545739903025896,0.405507486314512,0.917870363258511,3.686131678486998,6.3622253448914305,6.083272181163447
MoleculeCountLearningCurve,RandomForestOpt1,40,18,4440,1770,31,0.9996084133561621,0.2593081531531519,0.4235367915474314,0.4235505750444356,0.8724633214335537,4.301984030131825,7.265699230202935,7.264495181922661
MoleculeCountLearningCurve,RandomForestOpt1,40,19,3600,2610,31,0.9995299427052095,0.2917261018518512,0.4528700882890975,0.452847320136405,0.9599789384183207,2.5175207024265642,4.37874128243905,4.187890033144482
MoleculeCountLearningCurve,RandomForestOpt1,40,20,3600,2610,31,0.9996213119687226,0.2664254537037028,0.41076394738197924,0.41054116381859374,0.9172574372805088,3.343323524904216,6.2097261387933305,6.040375694820337
